001;KHOI_TAO;700000;Mo tai khoan moi;2026-04-23 22:59:34
001;KHOI_TAO;700000;Mo tai khoan moi;2026-04-23 22:59:34
001;TINH_LAI;700;Lai suat dinh ky;2026-04-23 23:00:20
001;TINH_LAI;700.7;Lai suat dinh ky;2026-04-23 23:00:24
001;TINH_LAI;701.401;Lai suat dinh ky;2026-04-23 23:00:27
001;TINH_LAI;702.102;Lai suat dinh ky;2026-04-23 23:00:28
002;KHOI_TAO;1.2e+006;Mo tai khoan moi;2026-04-23 22:59:34
002;KHOI_TAO;1.2e+006;Mo tai khoan moi;2026-04-23 22:59:34
002;TINH_LAI;60000;Lai suat dinh ky;2026-04-23 23:00:20
002;TINH_LAI;63000;Lai suat dinh ky;2026-04-23 23:00:24
002;TINH_LAI;66150;Lai suat dinh ky;2026-04-23 23:00:27
002;TINH_LAI;69457.5;Lai suat dinh ky;2026-04-23 23:00:28
003;KHOI_TAO;200000;Mo tai khoan moi;2026-04-23 22:59:34
003;KHOI_TAO;200000;Mo tai khoan moi;2026-04-23 22:59:34
003;TINH_LAI;40000;Lai suat dinh ky;2026-04-23 23:00:20
003;TINH_LAI;48000;Lai suat dinh ky;2026-04-23 23:00:24
003;TINH_LAI;57600;Lai suat dinh ky;2026-04-23 23:00:27
003;TINH_LAI;69120;Lai suat dinh ky;2026-04-23 23:00:28
004;KHOI_TAO;200000;Mo tai khoan moi;2026-04-23 22:59:34
004;KHOI_TAO;250000;Mo tai khoan moi;2026-04-23 22:59:34
004;CHUYEN_DI;-50000;Chuyen den 005;2026-04-23 22:59:34
004;TINH_LAI;200;Lai suat dinh ky;2026-04-23 23:00:20
004;TINH_LAI;200.2;Lai suat dinh ky;2026-04-23 23:00:24
004;TINH_LAI;200.4;Lai suat dinh ky;2026-04-23 23:00:27
004;TINH_LAI;200.601;Lai suat dinh ky;2026-04-23 23:00:28
005;KHOI_TAO;200000;Mo tai khoan moi;2026-04-23 22:59:34
005;KHOI_TAO;150000;Mo tai khoan moi;2026-04-23 22:59:34
005;NHAN_TIEN;50000;Nhan tu 004;2026-04-23 22:59:34
005;TINH_LAI;200;Lai suat dinh ky;2026-04-23 23:00:20
005;TINH_LAI;200.2;Lai suat dinh ky;2026-04-23 23:00:24
005;TINH_LAI;200.4;Lai suat dinh ky;2026-04-23 23:00:27
005;TINH_LAI;200.601;Lai suat dinh ky;2026-04-23 23:00:28
